metric,profile,baseline,topology,load_tps,n_pairs,baseline_mean,profile_mean,delta_improvement_ms,delta_improvement_pct,ci_low,ci_high,ci_halfwidth_rel,p_value,significant,holm_p,holm_reject
p50_ms,C3,C0,T2_three_region_emulated,50,3,1211.333333,461.333333,750.000000,61.915245,725.000000,775.000000,0.020638,0.000100,True,,
p50_ms,C3,C0,T2_three_region_emulated,100,3,1194.666667,453.000000,741.666667,62.081473,725.000000,750.000000,0.010463,0.000100,True,,
p50_ms,C3,C0,T2_three_region_emulated,200,3,4453.000000,461.333333,3991.666667,89.639943,3875.000000,4175.000000,0.033685,0.000100,True,,
p50_ms,C3,C0,T2_three_region_emulated,400,3,19336.333333,461.333333,18875.000000,97.614163,18825.000000,18925.000000,0.002586,0.000100,True,,
p50_ms,C4,C0,T0_local,25,3,1034.733333,159.733333,875.000000,84.562850,825.000000,925.000000,0.048322,0.000100,True,,
p50_ms,C4,C0,T0_local,50,3,1018.066667,159.733333,858.333333,84.310130,850.000000,875.000000,0.012278,0.000100,True,,
p50_ms,C4,C0,T0_local,100,3,1018.066667,151.400000,866.666667,85.128675,825.000000,900.000000,0.036835,0.000100,True,,
p50_ms,C4,C0,T0_local,200,3,4334.733333,151.400000,4183.333333,96.507282,4050.000000,4400.000000,0.040372,0.000100,True,,
p50_ms,C4,C0,T0_local,400,3,19243.066667,151.400000,19091.666667,99.213223,18975.000000,19175.000000,0.005197,0.000100,True,,
p50_ms,C4,C0,T1_vpn,25,3,1063.133333,204.800000,858.333333,80.736189,825.000000,900.000000,0.035273,0.000100,True,,
p50_ms,C4,C0,T1_vpn,50,3,1063.133333,196.466667,866.666667,81.520035,850.000000,875.000000,0.011758,0.000100,True,,
p50_ms,C4,C0,T1_vpn,100,3,1054.800000,204.800000,850.000000,80.583997,825.000000,875.000000,0.023701,0.000100,True,,
p50_ms,C4,C0,T1_vpn,200,3,4363.133333,204.800000,4158.333333,95.306126,4025.000000,4375.000000,0.040109,0.000100,True,,
p50_ms,C4,C0,T1_vpn,400,3,19254.800000,204.800000,19050.000000,98.936369,18925.000000,19150.000000,0.005843,0.000100,True,,
p50_ms,C4,C0,T2_three_region_emulated,25,3,1178.000000,319.666667,858.333333,72.863611,850.000000,875.000000,0.010611,0.000100,True,,
p50_ms,C4,C0,T2_three_region_emulated,50,3,1211.333333,328.000000,883.333333,72.922400,875.000000,900.000000,0.010319,0.000100,True,,
p50_ms,C4,C0,T2_three_region_emulated,100,3,1194.666667,319.666667,875.000000,73.242188,875.000000,875.000000,0.000000,0.000100,True,,
p50_ms,C4,C0,T2_three_region_emulated,200,3,4453.000000,328.000000,4125.000000,92.634179,4000.000000,4325.000000,0.036492,0.000100,True,,
p50_ms,C4,C0,T2_three_region_emulated,400,3,19336.333333,328.000000,19008.333333,98.303711,18950.000000,19050.000000,0.002586,0.000100,True,,
p95_ms,C1,C0,T0_local,25,3,1934.733333,1001.400000,933.333333,48.240929,925.000000,950.000000,0.006461,0.000100,True,,
p95_ms,C1,C0,T0_local,50,3,1918.066667,984.733333,933.333333,48.660109,925.000000,950.000000,0.006517,0.000100,True,,
p95_ms,C1,C0,T0_local,100,3,1926.400000,976.400000,950.000000,49.314784,950.000000,950.000000,0.000000,0.000100,True,,
p95_ms,C1,C0,T0_local,200,3,6726.400000,993.066667,5733.333333,85.236283,5675.000000,5825.000000,0.011150,0.000100,True,,
p95_ms,C1,C0,T0_local,400,3,28834.733333,6084.733333,22750.000000,78.897903,22675.000000,22825.000000,0.002601,0.000100,True,,
