run_id,config,topology,load_tps,repeat,trace_id,provenance,n_submitted,n_success,n_timeout,window_s,p50_ms,p95_ms,p99_ms,all_p50_ms,all_p95_ms,all_p99_ms,convergence_p99_ms,goodput_tps,availability_pct,consistency_pct,p99_drift_pct,observed_block_interval_ms,tx_per_block_mean,queue_slope_tx_per_s,queue_slope_ci_low,queue_slope_ci_high,queue_depth_p95,cpu_p95_pct,cpu_max_pct,cpu_saturated_s,disk_p99_ms,mem_p95_mib
RUN-0117,C0,T1_vpn,25,1,L25-R01,SIMULATED,500,500,0,19.961527,1104.800000,1979.800000,2079.800000,1129.800000,2004.800000,2104.800000,25.000000,25.048183,100.000000,100.000000,-3.521457,2000.000000,48.076923,-0.133333,-1.375000,1.000000,48.000000,15.936515,16.742850,0.000000,4.182452,1894.236800
RUN-0119,C0,T1_vpn,25,2,L25-R02,SIMULATED,500,500,0,19.989688,1054.800000,1979.800000,2054.800000,1054.800000,1979.800000,2054.800000,25.000000,25.012896,100.000000,100.000000,0.000000,2000.000000,48.076923,0.000000,-1.166667,0.875000,42.000000,15.162506,15.522561,0.000000,3.599167,1888.707200
RUN-0113,C0,T1_vpn,25,3,L25-R03,SIMULATED,500,500,0,19.970211,1029.800000,1979.800000,2054.800000,1029.800000,2004.800000,2054.800000,25.000000,25.037292,100.000000,100.000000,-1.216663,2000.000000,48.076923,-0.633929,-1.875000,0.250000,44.000000,15.744703,16.394298,0.000000,3.711216,1890.550400
RUN-0141,C0,T1_vpn,50,1,L50-R01,SIMULATED,1000,1000,0,19.997491,1079.800000,1954.800000,2054.800000,1079.800000,1954.800000,2054.800000,25.000000,50.006273,100.000000,100.000000,0.000000,2000.000000,96.153846,-0.250000,-2.368421,1.000000,81.000000,19.242011,19.710105,0.000000,3.732976,1924.649600
RUN-0147,C0,T1_vpn,50,2,L50-R02,SIMULATED,1000,1000,0,19.987437,1054.800000,1954.800000,2054.800000,1054.800000,1979.800000,2079.800000,25.000000,50.031428,100.000000,100.000000,0.000000,2000.000000,96.153846,-0.816667,-2.933333,0.583333,85.000000,19.841892,20.131989,0.000000,5.263655,1928.336000
RUN-0146,C0,T1_vpn,50,3,L50-R03,SIMULATED,1000,1000,0,19.988535,1054.800000,1979.800000,2054.800000,1079.800000,1979.800000,2054.800000,25.000000,50.028679,100.000000,100.000000,1.231648,2000.000000,96.153846,-1.062500,-2.900000,0.250000,83.000000,19.933401,20.787533,0.000000,5.475690,1926.492800
RUN-0077,C0,T1_vpn,100,1,L100-R01,SIMULATED,2000,2000,0,19.998204,1054.800000,1979.800000,2054.800000,1079.800000,1979.800000,2054.800000,50.000000,100.008983,100.000000,100.000000,-1.216663,2000.000000,192.307692,-0.345238,-3.333333,1.750000,163.000000,27.618294,27.651300,0.000000,6.222611,2000.220800
RUN-0081,C0,T1_vpn,100,2,L100-R02,SIMULATED,2000,2000,0,19.986017,1029.800000,1954.800000,2054.800000,1029.800000,1954.800000,2054.800000,25.000000,100.069965,100.000000,100.000000,1.231648,2000.000000,192.307692,0.866071,-2.500000,3.250000,167.000000,27.209641,28.373592,0.000000,7.095755,2003.907200
RUN-0080,C0,T1_vpn,100,3,L100-R03,SIMULATED,2000,2000,0,19.990370,1079.800000,1954.800000,2054.800000,1104.800000,1954.800000,2054.800000,25.000000,100.048173,100.000000,100.000000,1.231648,2000.000000,192.307692,-0.380952,-4.000000,1.100000,158.000000,28.723305,30.046955,0.000000,5.713108,1995.612800
RUN-0095,C0,T1_vpn,200,1,L200-R01,SIMULATED,4000,4000,0,19.991344,4579.800000,6854.800000,7404.800000,4604.800000,6854.800000,7404.800000,50.000000,200.086600,100.000000,100.000000,38.039891,2000.000000,312.500000,36.063492,31.000000,39.300000,1045.000000,38.806714,40.605736,0.000000,6.890925,2813.072000
RUN-0099,C0,T1_vpn,200,2,L200-R02,SIMULATED,4000,4000,0,19.999186,4229.800000,6704.800000,7379.800000,4229.800000,6704.800000,7404.800000,25.000000,200.008145,100.000000,100.000000,45.103593,2000.000000,312.500000,36.166667,30.250000,41.250000,1009.000000,38.036762,38.375495,0.000000,6.525771,2779.894400
RUN-0096,C0,T1_vpn,200,3,L200-R03,SIMULATED,4000,4000,0,19.995274,4279.800000,6704.800000,7404.800000,4279.800000,6729.800000,7404.800000,25.000000,200.047271,100.000000,100.000000,46.298101,2000.000000,312.500000,37.687500,31.000000,40.500000,1017.000000,37.739263,37.775896,0.000000,3.632920,2787.267200
RUN-0122,C0,T1_vpn,400,1,L400-R01,SIMULATED,8000,5905,2095,19.996597,19129.800000,28804.800000,29804.800000,19129.800000,28804.800000,29829.800000,25.000000,295.300238,73.812500,100.000000,51.764037,2000.000000,322.580645,240.500000,233.666667,244.500000,5824.000000,38.185155,39.386768,0.000000,3.414450,7217.398400
RUN-0133,C0,T1_vpn,400,2,L400-R02,SIMULATED,8000,5913,2087,19.999390,19354.800000,28854.800000,29829.800000,19354.800000,28879.800000,29829.800000,25.000000,295.659014,73.912500,100.000000,49.800298,2000.000000,322.580645,234.691667,229.500000,240.500000,5812.000000,37.643239,38.555625,0.000000,5.048793,7206.339200
RUN-0134,C0,T1_vpn,400,3,L400-R03,SIMULATED,8000,6000,2000,19.998896,19279.800000,28929.800000,29879.800000,19279.800000,28954.800000,29879.800000,25.000000,300.016563,75.000000,100.000000,51.698446,2000.000000,322.580645,236.625000,232.000000,240.666667,5818.000000,38.001600,38.128858,0.000000,2.817360,7211.868800
RUN-0187,C0,T2_three_region_emulated,25,1,L25-R01,SIMULATED,500,500,0,19.961527,1178.000000,2078.000000,2153.000000,1253.000000,2128.000000,2203.000000,150.000000,25.048183,100.000000,100.000000,-2.295684,2000.000000,48.076923,-0.166667,-1.307692,1.000000,48.000000,15.680374,16.367661,0.000000,3.406543,1894.236800
RUN-0185,C0,T2_three_region_emulated,25,2,L25-R02,SIMULATED,500,500,0,19.989688,1178.000000,2078.000000,2178.000000,1203.000000,2128.000000,2228.000000,75.000000,25.012896,100.000000,100.000000,-1.134816,2000.000000,48.076923,0.083333,-1.000000,0.875000,42.000000,15.925447,16.050030,0.000000,4.279135,1888.707200
