method,macro_f1,mota,ece,id_switches,f1_rel_improvement_pct
UST-Fuse,0.8142,0.3038,0.2026,12451.0000,0.0000
JPDA,0.7572,0.2734,0.2735,23656.9000,7.5269
CNN,0.7165,0.2187,0.3850,37353.0000,13.6364
LSTM,0.7735,0.2431,0.3141,27392.2000,5.2632
Kalman,0.5699,0.2582,0.5268,29882.4000,42.8571
SORT,0.5862,0.2674,0.4863,26147.1000,38.8889
DeepSORT,0.7816,0.2734,0.2938,19921.6000,4.1667
