configuration,macro_f1,mota,ece,pd
full UST-Fuse,0.8142,0.3038,0.2026,0.5834
- quality index,0.7732,0.2518,0.2266,0.5524
- temporal attention,0.7782,0.2428,0.2206,0.5714
- cross-feature attention,0.7852,0.2798,0.2176,0.5754
- ensemble,0.7922,0.2938,0.2496,0.5794
- temperature calibration,0.8112,0.3018,0.2636,0.5824
- semantic association,0.7962,0.2258,0.2086,0.5814
- adaptive covariance,0.8032,0.2588,0.2116,0.5644
