run_id,replicate_id,truth_id,kind,cause,site_id,target,stage,intensity,onset_utc,end_utc,onset_step,end_step,expected_observable,notes
power-outage,0,transition:ap_online:site_a:384,transition,ap_online:site_a,site_a,ap_online:site_a,48->12,,2026-09-03T09:06:24Z,2026-09-03T09:06:25Z,384,385,ap_online:site_a,
power-outage,0,transition:power_state:399,transition,power_state,site_a,power_state,LOAD_SHED->BATTERY,,2026-09-03T09:06:39Z,2026-09-03T09:06:40Z,399,400,power_state,
power-outage,0,transition:shed_groups:399,transition,shed_groups,site_a,shed_groups,"(3,)->()",,2026-09-03T09:06:39Z,2026-09-03T09:06:40Z,399,400,shed_groups,
power-outage,0,transition:ap_online:site_a:399,transition,ap_online:site_a,site_a,ap_online:site_a,12->48,,2026-09-03T09:06:39Z,2026-09-03T09:06:40Z,399,400,ap_online:site_a,
power-outage,0,transition:protection_trip:400,transition,protection_trip,site_a,protection_trip,->OCP_DSG,,2026-09-03T09:06:40Z,2026-09-03T09:06:41Z,400,401,protection_trip,
power-outage,0,transition:power_state:401,transition,power_state,site_a,power_state,BATTERY->LOAD_SHED,,2026-09-03T09:06:41Z,2026-09-03T09:06:42Z,401,402,power_state,
power-outage,0,transition:protection_trip:401,transition,protection_trip,site_a,protection_trip,OCP_DSG->,,2026-09-03T09:06:41Z,2026-09-03T09:06:42Z,401,402,protection_trip,
power-outage,0,transition:shed_groups:401,transition,shed_groups,site_a,shed_groups,"()->(3,)",,2026-09-03T09:06:41Z,2026-09-03T09:06:42Z,401,402,shed_groups,
power-outage,0,transition:ap_online:site_a:401,transition,ap_online:site_a,site_a,ap_online:site_a,48->12,,2026-09-03T09:06:41Z,2026-09-03T09:06:42Z,401,402,ap_online:site_a,
power-outage,0,transition:power_state:416,transition,power_state,site_a,power_state,LOAD_SHED->BATTERY,,2026-09-03T09:06:56Z,2026-09-03T09:06:57Z,416,417,power_state,
power-outage,0,transition:shed_groups:416,transition,shed_groups,site_a,shed_groups,"(3,)->()",,2026-09-03T09:06:56Z,2026-09-03T09:06:57Z,416,417,shed_groups,
power-outage,0,transition:ap_online:site_a:416,transition,ap_online:site_a,site_a,ap_online:site_a,12->48,,2026-09-03T09:06:56Z,2026-09-03T09:06:57Z,416,417,ap_online:site_a,
power-outage,0,transition:protection_trip:417,transition,protection_trip,site_a,protection_trip,->OCP_DSG,,2026-09-03T09:06:57Z,2026-09-03T09:06:58Z,417,418,protection_trip,
power-outage,0,transition:power_state:418,transition,power_state,site_a,power_state,BATTERY->LOAD_SHED,,2026-09-03T09:06:58Z,2026-09-03T09:06:59Z,418,419,power_state,
power-outage,0,transition:protection_trip:418,transition,protection_trip,site_a,protection_trip,OCP_DSG->,,2026-09-03T09:06:58Z,2026-09-03T09:06:59Z,418,419,protection_trip,
power-outage,0,transition:shed_groups:418,transition,shed_groups,site_a,shed_groups,"()->(3,)",,2026-09-03T09:06:58Z,2026-09-03T09:06:59Z,418,419,shed_groups,
power-outage,0,transition:ap_online:site_a:418,transition,ap_online:site_a,site_a,ap_online:site_a,48->12,,2026-09-03T09:06:58Z,2026-09-03T09:06:59Z,418,419,ap_online:site_a,
power-outage,0,transition:power_state:433,transition,power_state,site_a,power_state,LOAD_SHED->BATTERY,,2026-09-03T09:07:13Z,2026-09-03T09:07:14Z,433,434,power_state,
power-outage,0,transition:shed_groups:433,transition,shed_groups,site_a,shed_groups,"(3,)->()",,2026-09-03T09:07:13Z,2026-09-03T09:07:14Z,433,434,shed_groups,
power-outage,0,transition:ap_online:site_a:433,transition,ap_online:site_a,site_a,ap_online:site_a,12->48,,2026-09-03T09:07:13Z,2026-09-03T09:07:14Z,433,434,ap_online:site_a,
power-outage,0,transition:protection_trip:434,transition,protection_trip,site_a,protection_trip,->OCP_DSG,,2026-09-03T09:07:14Z,2026-09-03T09:07:15Z,434,435,protection_trip,
power-outage,0,transition:power_state:435,transition,power_state,site_a,power_state,BATTERY->LOAD_SHED,,2026-09-03T09:07:15Z,2026-09-03T09:07:16Z,435,436,power_state,
power-outage,0,transition:protection_trip:435,transition,protection_trip,site_a,protection_trip,OCP_DSG->,,2026-09-03T09:07:15Z,2026-09-03T09:07:16Z,435,436,protection_trip,
power-outage,0,transition:shed_groups:435,transition,shed_groups,site_a,shed_groups,"()->(3,)",,2026-09-03T09:07:15Z,2026-09-03T09:07:16Z,435,436,shed_groups,
power-outage,0,transition:ap_online:site_a:435,transition,ap_online:site_a,site_a,ap_online:site_a,48->12,,2026-09-03T09:07:15Z,2026-09-03T09:07:16Z,435,436,ap_online:site_a,
power-outage,0,transition:power_state:450,transition,power_state,site_a,power_state,LOAD_SHED->BATTERY,,2026-09-03T09:07:30Z,2026-09-03T09:07:31Z,450,451,power_state,
power-outage,0,transition:shed_groups:450,transition,shed_groups,site_a,shed_groups,"(3,)->()",,2026-09-03T09:07:30Z,2026-09-03T09:07:31Z,450,451,shed_groups,
power-outage,0,transition:ap_online:site_a:450,transition,ap_online:site_a,site_a,ap_online:site_a,12->48,,2026-09-03T09:07:30Z,2026-09-03T09:07:31Z,450,451,ap_online:site_a,
power-outage,0,transition:protection_trip:451,transition,protection_trip,site_a,protection_trip,->OCP_DSG,,2026-09-03T09:07:31Z,2026-09-03T09:07:32Z,451,452,protection_trip,
power-outage,0,transition:power_state:452,transition,power_state,site_a,power_state,BATTERY->LOAD_SHED,,2026-09-03T09:07:32Z,2026-09-03T09:07:33Z,452,453,power_state,
power-outage,0,transition:protection_trip:452,transition,protection_trip,site_a,protection_trip,OCP_DSG->,,2026-09-03T09:07:32Z,2026-09-03T09:07:33Z,452,453,protection_trip,
power-outage,0,transition:shed_groups:452,transition,shed_groups,site_a,shed_groups,"()->(3,)",,2026-09-03T09:07:32Z,2026-09-03T09:07:33Z,452,453,shed_groups,
power-outage,0,transition:ap_online:site_a:452,transition,ap_online:site_a,site_a,ap_online:site_a,48->12,,2026-09-03T09:07:32Z,2026-09-03T09:07:33Z,452,453,ap_online:site_a,
power-outage,0,transition:power_state:467,transition,power_state,site_a,power_state,LOAD_SHED->BATTERY,,2026-09-03T09:07:47Z,2026-09-03T09:07:48Z,467,468,power_state,
power-outage,0,transition:shed_groups:467,transition,shed_groups,site_a,shed_groups,"(3,)->()",,2026-09-03T09:07:47Z,2026-09-03T09:07:48Z,467,468,shed_groups,
power-outage,0,transition:ap_online:site_a:467,transition,ap_online:site_a,site_a,ap_online:site_a,12->48,,2026-09-03T09:07:47Z,2026-09-03T09:07:48Z,467,468,ap_online:site_a,
power-outage,0,transition:protection_trip:468,transition,protection_trip,site_a,protection_trip,->OCP_DSG,,2026-09-03T09:07:48Z,2026-09-03T09:07:49Z,468,469,protection_trip,
