method,macro_f1,mota,ece,id_switches,f1_rel_improvement_pct
UST-Fuse,0.8183,0.2998,0.2054,12652.0000,0.0000
JPDA,0.7610,0.2698,0.2773,24038.8000,7.5269
CNN,0.7201,0.2159,0.3902,37956.0000,13.6364
LSTM,0.7774,0.2398,0.3183,27834.4000,5.2632
Kalman,0.5728,0.2548,0.5340,30364.8000,42.8571
SORT,0.5892,0.2638,0.4929,26569.2000,38.8889
DeepSORT,0.7855,0.2698,0.2978,20243.2000,4.1667
