method,macro_f1,mota,ece,id_switches,f1_rel_improvement_pct
UST-Fuse,0.8281,0.3037,0.2098,13079.0000,0.0000
JPDA,0.7701,0.2733,0.2832,24850.1000,7.5269
CNN,0.7287,0.2186,0.3986,39237.0000,13.6364
LSTM,0.7867,0.2429,0.3252,28773.8000,5.2632
Kalman,0.5797,0.2581,0.5455,31389.6000,42.8571
SORT,0.5962,0.2672,0.5035,27465.9000,38.8889
DeepSORT,0.7950,0.2733,0.3042,20926.4000,4.1667
