configuration,macro_f1,mota,ece,pd
full UST-Fuse,0.8343,0.3153,0.2106,0.6145
- quality index,0.7933,0.2633,0.2346,0.5835
- temporal attention,0.7983,0.2543,0.2286,0.6025
- cross-feature attention,0.8053,0.2913,0.2256,0.6065
- ensemble,0.8123,0.3053,0.2576,0.6105
- temperature calibration,0.8313,0.3133,0.2716,0.6135
- semantic association,0.8163,0.2373,0.2166,0.6125
- adaptive covariance,0.8233,0.2703,0.2196,0.5955
