method,macro_f1,mota,ece,id_switches,f1_rel_improvement_pct
UST-Fuse,0.8343,0.3153,0.2106,12922.0000,0.0000
JPDA,0.7759,0.2838,0.2843,24551.8000,7.5269
CNN,0.7342,0.2270,0.4001,38766.0000,13.6364
LSTM,0.7926,0.2522,0.3264,28428.4000,5.2632
Kalman,0.5840,0.2680,0.5475,31012.8000,42.8571
SORT,0.6007,0.2775,0.5054,27136.2000,38.8889
DeepSORT,0.8009,0.2838,0.3054,20675.2000,4.1667
