method,macro_f1,mota,ece,id_switches,f1_rel_improvement_pct
UST-Fuse,0.8421,0.3048,0.2152,12082.0000,0.0000
JPDA,0.7831,0.2743,0.2905,22955.8000,7.5269
CNN,0.7410,0.2194,0.4088,36246.0000,13.6364
LSTM,0.8000,0.2438,0.3335,26580.4000,5.2632
Kalman,0.5895,0.2591,0.5595,28996.8000,42.8571
SORT,0.6063,0.2682,0.5164,25372.2000,38.8889
DeepSORT,0.8084,0.2743,0.3120,19331.2000,4.1667
