configuration,macro_f1,mota,ece,pd
full UST-Fuse,0.8211,0.3040,0.2105,0.6064
- quality index,0.7801,0.2520,0.2345,0.5754
- temporal attention,0.7851,0.2430,0.2285,0.5944
- cross-feature attention,0.7921,0.2800,0.2255,0.5984
- ensemble,0.7991,0.2940,0.2575,0.6024
- temperature calibration,0.8181,0.3020,0.2715,0.6054
- semantic association,0.8031,0.2260,0.2165,0.6044
- adaptive covariance,0.8101,0.2590,0.2195,0.5874
