method,macro_f1,mota,ece,id_switches,f1_rel_improvement_pct
UST-Fuse,0.8211,0.3040,0.2105,13279.0000,0.0000
JPDA,0.7636,0.2736,0.2842,25230.1000,7.5269
CNN,0.7226,0.2189,0.4000,39837.0000,13.6364
LSTM,0.7801,0.2432,0.3263,29213.8000,5.2632
Kalman,0.5748,0.2584,0.5474,31869.6000,42.8571
SORT,0.5912,0.2675,0.5052,27885.9000,38.8889
DeepSORT,0.7883,0.2736,0.3053,21246.4000,4.1667
