method,macro_f1,mota,ece,id_switches,f1_rel_improvement_pct
UST-Fuse,0.8160,0.3033,0.2000,12590.0000,0.0000
JPDA,0.7588,0.2729,0.2699,23921.0000,7.5269
CNN,0.7180,0.2183,0.3799,37770.0000,13.6364
LSTM,0.7752,0.2426,0.3099,27698.0000,5.2632
Kalman,0.5712,0.2578,0.5199,30216.0000,42.8571
SORT,0.5875,0.2669,0.4799,26439.0000,38.8889
DeepSORT,0.7833,0.2729,0.2899,20144.0000,4.1667
