configuration,macro_f1,mota,ece,pd
full UST-Fuse,0.8160,0.3033,0.2000,0.6087
- quality index,0.7750,0.2513,0.2240,0.5777
- temporal attention,0.7800,0.2423,0.2180,0.5967
- cross-feature attention,0.7870,0.2793,0.2150,0.6007
- ensemble,0.7940,0.2933,0.2470,0.6047
- temperature calibration,0.8130,0.3013,0.2610,0.6077
- semantic association,0.7980,0.2253,0.2060,0.6067
- adaptive covariance,0.8050,0.2583,0.2090,0.5897
