run_id,replicate_id,truth_id,kind,cause,site_id,target,stage,intensity,onset_utc,end_utc,onset_step,end_step,expected_observable,notes
doe-006,0,transition:vpn_state:site_b:241,transition,vpn_state:site_b,site_b,vpn_state:site_b,UP->DEGRADED,,2026-09-03T09:04:01Z,2026-09-03T09:04:02Z,241,242,vpn_state:site_b,
doe-006,0,transition:vpn_state:site_a:330,transition,vpn_state:site_a,site_a,vpn_state:site_a,DEGRADED->UP,,2026-09-03T09:05:30Z,2026-09-03T09:05:31Z,330,331,vpn_state:site_a,
doe-006,0,transition:vpn_state:site_b:330,transition,vpn_state:site_b,site_b,vpn_state:site_b,DEGRADED->UP,,2026-09-03T09:05:30Z,2026-09-03T09:05:31Z,330,331,vpn_state:site_b,
doe-006,0,transition:power_state:570,transition,power_state,site_a,power_state,MAINS->BATTERY,,2026-09-03T09:09:30Z,2026-09-03T09:09:31Z,570,571,power_state,
doe-006,0,transition:protection_trip:570,transition,protection_trip,site_a,protection_trip,->OCP_DSG,,2026-09-03T09:09:30Z,2026-09-03T09:09:31Z,570,571,protection_trip,
doe-006,0,transition:power_state:571,transition,power_state,site_a,power_state,BATTERY->LOAD_SHED,,2026-09-03T09:09:31Z,2026-09-03T09:09:32Z,571,572,power_state,
doe-006,0,transition:protection_trip:571,transition,protection_trip,site_a,protection_trip,OCP_DSG->,,2026-09-03T09:09:31Z,2026-09-03T09:09:32Z,571,572,protection_trip,
doe-006,0,transition:shed_groups:571,transition,shed_groups,site_a,shed_groups,"()->(3,)",,2026-09-03T09:09:31Z,2026-09-03T09:09:32Z,571,572,shed_groups,
doe-006,0,transition:ap_online:site_a:571,transition,ap_online:site_a,site_a,ap_online:site_a,48->12,,2026-09-03T09:09:31Z,2026-09-03T09:09:32Z,571,572,ap_online:site_a,
doe-006,0,transition:power_state:586,transition,power_state,site_a,power_state,LOAD_SHED->BATTERY,,2026-09-03T09:09:46Z,2026-09-03T09:09:47Z,586,587,power_state,
doe-006,0,transition:shed_groups:586,transition,shed_groups,site_a,shed_groups,"(3,)->()",,2026-09-03T09:09:46Z,2026-09-03T09:09:47Z,586,587,shed_groups,
doe-006,0,transition:ap_online:site_a:586,transition,ap_online:site_a,site_a,ap_online:site_a,12->48,,2026-09-03T09:09:46Z,2026-09-03T09:09:47Z,586,587,ap_online:site_a,
doe-006,0,transition:protection_trip:587,transition,protection_trip,site_a,protection_trip,->OCP_DSG,,2026-09-03T09:09:47Z,2026-09-03T09:09:48Z,587,588,protection_trip,
doe-006,0,transition:power_state:588,transition,power_state,site_a,power_state,BATTERY->LOAD_SHED,,2026-09-03T09:09:48Z,2026-09-03T09:09:49Z,588,589,power_state,
doe-006,0,transition:protection_trip:588,transition,protection_trip,site_a,protection_trip,OCP_DSG->,,2026-09-03T09:09:48Z,2026-09-03T09:09:49Z,588,589,protection_trip,
