method,macro_f1,mota,ece,id_switches,f1_rel_improvement_pct
UST-Fuse,0.8110,0.3173,0.2012,12940.0000,0.0000
JPDA,0.7542,0.2856,0.2717,24586.0000,7.5269
CNN,0.7137,0.2285,0.3823,38820.0000,13.6364
LSTM,0.7704,0.2539,0.3119,28468.0000,5.2632
Kalman,0.5677,0.2697,0.5232,31056.0000,42.8571
SORT,0.5839,0.2793,0.4829,27174.0000,38.8889
DeepSORT,0.7785,0.2856,0.2918,20704.0000,4.1667
