method,macro_f1,mota,ece,id_switches,f1_rel_improvement_pct
UST-Fuse,0.8320,0.2954,0.2193,12896.0000,0.0000
JPDA,0.7737,0.2659,0.2961,24502.4000,7.5269
CNN,0.7321,0.2127,0.4167,38688.0000,13.6364
LSTM,0.7904,0.2363,0.3400,28371.2000,5.2632
Kalman,0.5824,0.2511,0.5703,30950.4000,42.8571
SORT,0.5990,0.2600,0.5264,27081.6000,38.8889
DeepSORT,0.7987,0.2659,0.3180,20633.6000,4.1667
