method,macro_f1,mota,ece,id_switches,f1_rel_improvement_pct
UST-Fuse,0.8203,0.3082,0.2034,12702.0000,0.0000
JPDA,0.7628,0.2773,0.2746,24133.8000,7.5269
CNN,0.7218,0.2219,0.3865,38106.0000,13.6364
LSTM,0.7793,0.2465,0.3153,27944.4000,5.2632
Kalman,0.5742,0.2619,0.5290,30484.8000,42.8571
SORT,0.5906,0.2712,0.4883,26674.2000,38.8889
DeepSORT,0.7875,0.2773,0.2950,20323.2000,4.1667
