config,topology,load_tps,goodput_mean_tps,availability_min_pct,queue_slope_mean,cpu_p95_mean,disk_p99_mean_ms,n_stable,n_runs,stable
C4,T0 local,25,25.032790,100.000000,0.000000,27.464579,8.644981,3,3,yes
C4,T0 local,50,50.022126,100.000000,0.000000,29.460513,6.267425,3,3,yes
C4,T0 local,100,100.042374,100.000000,0.000000,34.282800,7.053087,3,3,yes
C4,T0 local,200,200.047339,100.000000,0.000000,42.191005,8.523682,3,3,yes
C4,T0 local,400,400.034114,100.000000,0.000000,58.748320,7.725646,3,3,yes
C4,T1 physical VPN,25,25.032790,100.000000,0.000000,27.829517,8.473003,3,3,yes
C4,T1 physical VPN,50,50.022126,100.000000,0.000000,29.760401,7.163307,3,3,yes
C4,T1 physical VPN,100,100.042374,100.000000,0.000000,33.778933,6.687555,3,3,yes
C4,T1 physical VPN,200,200.047339,100.000000,0.000000,41.974559,6.954821,3,3,yes
C4,T1 physical VPN,400,400.034114,100.000000,0.000000,58.868628,5.661263,3,3,yes
C4,T2 three-region (emulated),25,25.032790,100.000000,0.000000,27.567939,6.399297,3,3,yes
C4,T2 three-region (emulated),50,50.022126,100.000000,0.000000,29.622533,8.244386,2,3,no
C4,T2 three-region (emulated),100,100.042374,100.000000,0.000000,34.172939,7.739632,3,3,yes
C4,T2 three-region (emulated),200,200.047339,100.000000,0.000000,42.590352,6.286361,3,3,yes
C4,T2 three-region (emulated),400,400.034114,100.000000,0.000000,58.323787,8.565194,3,3,yes
