member,seed_node,catastrophe,T_cat,terminal_cascade_size,peak_backlog,max_dalA,nan_flag,fault_magnitude,seed_index,backlog_pert,history_phase,history_amp,alpha,beta,prop_mult,backlog_mult,conflict_mult,reconf_mult,xi_mult,delay_mult
0,RDC4,False,,0.0,0.485526684915141,0.0879719282854925,False,0.4526998607505722,0.31683241660290246,0.08620263454266727,0.6932374532924902,0.03780444522469905,0.8416671860721336,0.7684016912464128,1.0356265316287927,0.9826544879119709,1.0541163942694602,1.055503508570741,1.0340511188481667,0.8773310501875985
1,RDC10,False,,0.0,0.45000559891357916,0.06274026637516743,False,0.565189024541693,0.9955816033383219,0.022113520080672484,0.7130254650011798,0.03983676356796495,0.7562660718366699,0.8297798650444546,0.9338368108609156,1.04568020879785,1.0633197996300907,0.9590696136925959,1.0067335789717093,0.9887368943863007
2,RDC5,False,,0.0,0.49173181747821426,0.09572648039296017,False,0.48137475234356314,0.408705309238228,0.08290833524845506,0.2740143198633509,0.044072629047813006,0.7933983787583063,0.8170680116388641,0.990550437277816,0.9482788973652134,1.0861413243968494,0.9609076279818354,1.0210623270412322,0.9340200482396848
3,RDC2,False,,0.0,0.40987589121028534,0.02990092499010426,False,0.5735976989985221,0.16548221292525236,0.02133496107660047,0.9066910906953295,0.021548272996595882,0.8487429258247235,0.8336601716623897,0.9554822932027142,1.0972891070401114,0.9459899553325658,1.0947427909118008,1.046717617292575,0.9677276492420482
4,RDC1,False,,0.0,0.4154218171045944,0.03997558604887953,False,0.47384297625003596,0.09823673679718796,0.032695611612780416,0.6455911318912387,0.01942489882946865,0.8317820711369146,0.7555256668846665,0.9570472622898376,1.043489535292361,0.979404869463704,1.0634418657603726,0.9577394207875086,0.9100689536288028
5,RDC10,False,,0.0,0.45860577639090727,0.07280681599999987,False,0.5869336461200267,0.9850436940332696,0.07075373867416926,0.9616151734753305,0.010909934704952481,0.7791378437084908,0.8488217005551549,1.0384989373361255,0.9887777591923389,0.9995816899301428,1.0984802551577522,0.9927507394304651,0.9236577130720538
6,RDC1,False,,0.0,0.46010379847296046,0.07375249909856303,False,0.5398402752109002,0.014630316689676643,0.04036547328878473,0.5482562589130862,0.0003759177550717738,0.8103151770153607,0.7619191283537491,1.0262498527984878,0.99714261123692,0.9347632116092053,1.0673737889916297,1.0238210371447072,1.0159611514888183
7,RDC9,False,,0.0,0.44740927615205484,0.06487772395604832,False,0.49233790549141343,0.8812999932122836,0.08102717019760246,0.7555820765680891,0.029310625252595375,0.8207240529187319,0.8020338958907656,0.9838835947894684,1.0071825322022763,1.013662742310943,1.0335197118831967,0.9562199921436657,0.8871849296153775
8,RDC7,False,,0.0,0.4550209598991395,0.07512173019702101,False,0.6455854878995244,0.6863300585794834,0.052492718278607645,0.8666656220330371,0.02485863916294606,0.8227181696986948,0.7819146187078787,1.0310363726884386,0.9562333142109709,0.94010554446798,1.0699452325561458,1.0280822477554974,1.1595139018820584
9,RDC9,False,,0.0,0.7805954405257439,0.17959917674968828,False,0.6583547349284713,0.8910347925795031,0.030832070200062844,0.4166853678073319,0.021310921687192102,0.8456531510423259,0.7664837442988847,1.0899820119452575,1.0691546435910353,0.9602446845409768,0.919825189694295,0.958515915182542,0.806075089090638
10,RDC5,False,,0.0,0.3777641838053287,0.019148446575038707,False,0.6384783427212963,0.41035440424861613,0.006292903558364458,0.38726263279084505,0.03866494334976507,0.7816524651972518,0.8402318721639451,0.9086484571674951,0.9680449359439455,1.066266580420811,1.0519077839707083,1.0127096762869123,1.0525504356092437
11,RDC8,False,,0.0,0.5362182757971687,0.12195099312805366,False,0.5618781347651103,0.7365574204151492,0.027944397423211056,0.802371273300179,0.016999240606130474,0.830907156460761,0.8250064958401945,1.0404479738455428,0.9122634582741476,0.9490456834968266,0.9556623027191554,0.9824660226788549,0.9022966724926939
12,RDC7,False,,0.0,0.5745072206803943,0.12726839214093136,False,0.5430413348874686,0.698341224287993,0.09474184983167418,0.21056908430134233,0.04900659652907619,0.7612963335851395,0.8382768425866292,1.0845350043855158,0.9709652089629709,1.0856451473834894,1.028244707586145,0.9641196096442504,0.8651618617888417
13,RDC8,False,,0.0,0.5031457020989186,0.10525184688646375,False,0.5083464566242544,0.7202000183960058,0.04549652421786789,0.9424243049304151,0.04619169073828048,0.8478851109317895,0.7636840115198764,0.9938645322049402,0.9342262576437775,0.9579558592022502,0.9269254265931912,0.9838223878935093,1.0354120203625414
14,RDC9,False,,0.0,0.3657748552205738,0.013126316240023713,False,0.6574351421438573,0.8112304602109109,0.004505529874420942,0.03659099504665861,0.035000395087059134,0.8154540251042485,0.8366966688743946,0.9172586965983207,0.9606082662438935,0.9057595068627226,1.0904835576236627,0.970116232393151,1.110099475420892
15,RDC4,False,,0.0,0.5152858466112376,0.10316826362265245,False,0.4940379296490743,0.33856885226731137,0.06457725774159022,0.0023558830562083566,0.04579300835428205,0.8403800690313601,0.8479562205187979,0.9735605492524858,0.9995923425713751,1.0260376529940984,0.9119109002362018,1.0337846815034004,1.1238744030641914
