configuration,macro_f1,mota,ece,pd
full UST-Fuse,0.8169,0.3022,0.2071,0.6133
- quality index,0.7759,0.2502,0.2311,0.5823
- temporal attention,0.7809,0.2412,0.2251,0.6013
- cross-feature attention,0.7879,0.2782,0.2221,0.6053
- ensemble,0.7949,0.2922,0.2541,0.6093
- temperature calibration,0.8139,0.3002,0.2681,0.6123
- semantic association,0.7989,0.2242,0.2131,0.6113
- adaptive covariance,0.8059,0.2572,0.2161,0.5943
