method,macro_f1,mota,ece,id_switches,f1_rel_improvement_pct
UST-Fuse,0.8169,0.3022,0.2071,13278.0000,0.0000
JPDA,0.7597,0.2720,0.2796,25228.2000,7.5269
CNN,0.7189,0.2176,0.3936,39834.0000,13.6364
LSTM,0.7761,0.2418,0.3211,29211.6000,5.2632
Kalman,0.5718,0.2569,0.5386,31867.2000,42.8571
SORT,0.5882,0.2660,0.4971,27883.8000,38.8889
DeepSORT,0.7842,0.2720,0.3004,21244.8000,4.1667
