configuration,macro_f1,mota,ece,pd
full UST-Fuse,0.8107,0.3011,0.2014,0.6045
- quality index,0.7697,0.2491,0.2254,0.5735
- temporal attention,0.7747,0.2401,0.2194,0.5925
- cross-feature attention,0.7817,0.2771,0.2164,0.5965
- ensemble,0.7887,0.2911,0.2484,0.6005
- temperature calibration,0.8077,0.2991,0.2624,0.6035
- semantic association,0.7927,0.2231,0.2074,0.6025
- adaptive covariance,0.7997,0.2561,0.2104,0.5855
