method,macro_f1,mota,ece,id_switches,f1_rel_improvement_pct
UST-Fuse,0.8107,0.3011,0.2014,13705.0000,0.0000
JPDA,0.7539,0.2709,0.2718,26039.5000,7.5269
CNN,0.7134,0.2168,0.3826,41115.0000,13.6364
LSTM,0.7701,0.2408,0.3121,30151.0000,5.2632
Kalman,0.5675,0.2559,0.5235,32892.0000,42.8571
SORT,0.5837,0.2649,0.4833,28780.5000,38.8889
DeepSORT,0.7782,0.2709,0.2920,21928.0000,4.1667
