method,macro_f1,mota,ece,id_switches,f1_rel_improvement_pct
UST-Fuse,0.8276,0.2949,0.2156,13301.0000,0.0000
JPDA,0.7697,0.2654,0.2911,25271.9000,7.5269
CNN,0.7283,0.2123,0.4096,39903.0000,13.6364
LSTM,0.7862,0.2359,0.3342,29262.2000,5.2632
Kalman,0.5793,0.2507,0.5606,31922.4000,42.8571
SORT,0.5959,0.2595,0.5174,27932.1000,38.8889
DeepSORT,0.7945,0.2654,0.3126,21281.6000,4.1667
