configuration,macro_f1,mota,ece,pd
full UST-Fuse,0.8130,0.3048,0.2058,0.5898
- quality index,0.7720,0.2528,0.2298,0.5588
- temporal attention,0.7770,0.2438,0.2238,0.5778
- cross-feature attention,0.7840,0.2808,0.2208,0.5818
- ensemble,0.7910,0.2948,0.2528,0.5858
- temperature calibration,0.8100,0.3028,0.2668,0.5888
- semantic association,0.7950,0.2268,0.2118,0.5878
- adaptive covariance,0.8020,0.2598,0.2148,0.5708
