method,macro_f1,mota,ece,id_switches,f1_rel_improvement_pct
UST-Fuse,0.8130,0.3048,0.2058,12728.0000,0.0000
JPDA,0.7561,0.2743,0.2779,24183.2000,7.5269
CNN,0.7155,0.2194,0.3910,38184.0000,13.6364
LSTM,0.7724,0.2438,0.3190,28001.6000,5.2632
Kalman,0.5691,0.2590,0.5351,30547.2000,42.8571
SORT,0.5854,0.2682,0.4940,26728.8000,38.8889
DeepSORT,0.7805,0.2743,0.2984,20364.8000,4.1667
