method,macro_f1,mota,ece,id_switches,f1_rel_improvement_pct
UST-Fuse,0.8460,0.3083,0.2130,12547.0000,0.0000
JPDA,0.7868,0.2774,0.2876,23839.3000,7.5269
CNN,0.7445,0.2220,0.4048,37641.0000,13.6364
LSTM,0.8037,0.2466,0.3302,27603.4000,5.2632
Kalman,0.5922,0.2620,0.5539,30112.8000,42.8571
SORT,0.6091,0.2713,0.5113,26348.7000,38.8889
DeepSORT,0.8122,0.2774,0.3089,20075.2000,4.1667
