configuration,macro_f1,mota,ece,pd
full UST-Fuse,0.8460,0.3083,0.2130,0.5933
- quality index,0.8050,0.2563,0.2370,0.5623
- temporal attention,0.8100,0.2473,0.2310,0.5813
- cross-feature attention,0.8170,0.2843,0.2280,0.5853
- ensemble,0.8240,0.2983,0.2600,0.5893
- temperature calibration,0.8430,0.3063,0.2740,0.5923
- semantic association,0.8280,0.2303,0.2190,0.5913
- adaptive covariance,0.8350,0.2633,0.2220,0.5743
