20260730,-5..0,-2.5,0.28191,419
20260730,0..5,2.5,0.48248,2952
20260730,5..10,7.5,0.52782,17192
20260730,10..15,12.5,0.57425,35466
20260730,15..20,17.5,0.66838,32739
20260730,20..30,25.0,0.66204,27025
20260731,-5..0,-2.5,0.32126,310
20260731,0..5,2.5,0.49566,3155
20260731,5..10,7.5,0.51491,17850
20260731,10..15,12.5,0.54600,38011
20260731,15..20,17.5,0.59416,29441
20260731,20..30,25.0,0.65681,28425
20260732,-5..0,-2.5,0.30612,462
20260732,0..5,2.5,0.50038,3381
20260732,5..10,7.5,0.53633,18476
20260732,10..15,12.5,0.53557,33505
20260732,15..20,17.5,0.64886,28526
20260732,20..30,25.0,0.65748,27119
20260733,-5..0,-2.5,0.28752,378
20260733,0..5,2.5,0.48837,2848
20260733,5..10,7.5,0.51920,16642
20260733,10..15,12.5,0.56728,35136
20260733,15..20,17.5,0.65264,29503
20260733,20..30,25.0,0.64756,31259
20260734,-5..0,-2.5,0.30195,337
20260734,0..5,2.5,0.49599,3280
20260734,5..10,7.5,0.49677,18565
20260734,10..15,12.5,0.57888,35642
20260734,15..20,17.5,0.76516,28665
20260734,20..30,25.0,0.67189,29788
20260735,-5..0,-2.5,0.30003,388
20260735,0..5,2.5,0.50089,3293
20260735,5..10,7.5,0.52725,15871
20260735,10..15,12.5,0.54482,29746
20260735,15..20,17.5,0.63491,29774
20260735,20..30,25.0,0.64407,30000
20260736,-5..0,-2.5,0.29285,337
20260736,0..5,2.5,0.51154,3227
20260736,5..10,7.5,0.53128,18396
20260736,10..15,12.5,0.53390,33778
20260736,15..20,17.5,0.66599,27194
20260736,20..30,25.0,0.67677,27188
20260737,-5..0,-2.5,0.27073,379
20260737,0..5,2.5,0.49159,3309
20260737,5..10,7.5,0.53820,18857
20260737,10..15,12.5,0.53212,34630
20260737,15..20,17.5,0.64504,26561
20260737,20..30,25.0,0.64947,27967
20260738,-5..0,-2.5,0.28191,435
20260738,0..5,2.5,0.48862,3360
20260738,5..10,7.5,0.52480,17287
20260738,10..15,12.5,0.58521,33875
20260738,15..20,17.5,0.64051,25212
20260738,20..30,25.0,0.64576,30204
20260739,-5..0,-2.5,0.27795,372
20260739,0..5,2.5,0.44410,3909
20260739,5..10,7.5,0.53823,18219
20260739,10..15,12.5,0.53875,34231
20260739,15..20,17.5,0.60598,26505
20260739,20..30,25.0,0.64011,24536
20260740,-5..0,-2.5,0.28612,455
20260740,0..5,2.5,0.49597,3200
20260740,5..10,7.5,0.55548,18425
20260740,10..15,12.5,0.58512,34784
20260740,15..20,17.5,0.65127,27725
20260740,20..30,25.0,0.65087,27264
20260741,-5..0,-2.5,0.30581,347
20260741,0..5,2.5,0.48202,3507
20260741,5..10,7.5,0.51397,17944
20260741,10..15,12.5,0.53313,32127
20260741,15..20,17.5,0.63592,29195
20260741,20..30,25.0,0.65621,28692
20260742,-5..0,-2.5,0.29020,379
20260742,0..5,2.5,0.48002,3824
20260742,5..10,7.5,0.51571,18178
20260742,10..15,12.5,0.56243,31909
20260742,15..20,17.5,0.60020,26116
20260742,20..30,25.0,0.63657,31457
20260743,-5..0,-2.5,0.29376,427
20260743,0..5,2.5,0.48810,3332
20260743,5..10,7.5,0.54477,16580
20260743,10..15,12.5,0.58297,32800
20260743,15..20,17.5,0.67536,30047
20260743,20..30,25.0,0.64675,26306
20260744,-5..0,-2.5,0.27861,392
20260744,0..5,2.5,0.50295,2807
20260744,5..10,7.5,0.50933,16898
20260744,10..15,12.5,0.56932,37045
20260744,15..20,17.5,0.68055,24783
20260744,20..30,25.0,0.64497,30144
20260745,-5..0,-2.5,0.28900,455
20260745,0..5,2.5,0.51094,3181
20260745,5..10,7.5,0.53484,15692
20260745,10..15,12.5,0.58259,34720
20260745,15..20,17.5,0.67337,27166
20260745,20..30,25.0,0.68994,29747
20260746,-5..0,-2.5,0.30546,286
20260746,0..5,2.5,0.47347,3232
20260746,5..10,7.5,0.51105,17315
20260746,10..15,12.5,0.54936,33741
20260746,15..20,17.5,0.66969,28784
20260746,20..30,25.0,0.76551,29630
20260747,-5..0,-2.5,0.28662,312
20260747,0..5,2.5,0.48140,3149
20260747,5..10,7.5,0.52213,17332
20260747,10..15,12.5,0.56074,34734
20260747,15..20,17.5,0.60168,30723
20260747,20..30,25.0,0.64588,28324
20260748,-5..0,-2.5,0.28598,402
20260748,0..5,2.5,0.49856,3300
20260748,5..10,7.5,0.51737,17214
20260748,10..15,12.5,0.52992,36574
