20260752,1.00,2.44444,22,9
20260753,0.40,6.63103,1923,290
20260753,0.50,10.10465,869,86
20260753,0.60,10.20690,888,87
20260753,0.70,9.32432,1035,111
20260753,0.80,5.18085,974,188
20260753,0.90,3.58575,1359,379
20260753,1.00,2.07143,29,14
20260754,0.40,6.34701,1701,268
20260754,0.50,13.18182,1015,77
20260754,0.60,10.87342,859,79
20260754,0.70,7.97143,837,105
20260754,0.80,5.03333,1057,210
20260754,0.90,4.08374,1658,406
20260754,1.00,1.16667,7,6
20260755,0.40,7.19929,2023,281
20260755,0.50,11.12329,812,73
20260755,0.60,9.59000,959,100
20260755,0.70,9.14953,979,107
20260755,0.80,5.73737,1136,198
20260755,0.90,3.93593,1413,359
20260755,1.00,1.50000,9,6
20260756,0.40,7.60517,2061,271
20260756,0.50,9.70238,815,84
20260756,0.60,9.16279,788,86
20260756,0.70,8.23729,972,118
20260756,0.80,4.96535,1003,202
20260756,0.90,3.55897,1388,390
20260756,1.00,3.44444,31,9
20260757,0.40,6.50000,1729,266
20260757,0.50,13.02439,1068,82
20260757,0.60,9.58140,824,86
20260757,0.70,7.23200,904,125
20260757,0.80,5.45581,1173,215
20260757,0.90,3.88493,1418,365
20260757,1.00,3.80000,19,5
20260758,0.40,7.38550,1935,262
20260758,0.50,11.74419,1010,86
20260758,0.60,9.53846,868,91
20260758,0.70,7.18605,927,129
20260758,0.80,5.45455,1080,198
20260758,0.90,4.06329,1605,395
20260758,1.00,4.28571,30,7
20260759,0.40,8.37755,2463,294
20260759,0.50,11.85714,913,77
20260759,0.60,10.74468,1010,94
20260759,0.70,7.66972,836,109
20260759,0.80,5.68599,1177,207
20260759,0.90,3.40223,1218,358
20260759,1.00,2.12500,17,8
