20260755,BIRD-OTHER,334
20260755,BIRD-BIRD,320
20260755,OTHER-OTHER,1411
20260755,spurious/new-track,237
20260756,UAV-UAV,7010
20260756,BIRD-UAV,951
20260756,OTHER-UAV,2656
20260756,BIRD-OTHER,364
20260756,BIRD-BIRD,295
20260756,OTHER-OTHER,1750
20260756,spurious/new-track,275
20260757,UAV-UAV,7235
20260757,BIRD-UAV,804
20260757,OTHER-UAV,2590
20260757,BIRD-OTHER,279
20260757,BIRD-BIRD,233
20260757,OTHER-OTHER,1496
20260757,spurious/new-track,259
20260758,UAV-UAV,7359
20260758,BIRD-UAV,923
20260758,OTHER-UAV,2609
20260758,BIRD-OTHER,325
20260758,BIRD-BIRD,323
20260758,OTHER-OTHER,1465
20260758,spurious/new-track,275
20260759,UAV-UAV,6583
20260759,BIRD-UAV,1182
20260759,OTHER-UAV,2411
20260759,BIRD-OTHER,404
20260759,BIRD-BIRD,374
20260759,OTHER-OTHER,1471
20260759,spurious/new-track,257
