configuration,macro_f1,mota,ece,pd
full UST-Fuse,0.8152,0.2921,0.2024,0.5950
- quality index,0.7742,0.2401,0.2264,0.5640
- temporal attention,0.7792,0.2311,0.2204,0.5830
- cross-feature attention,0.7862,0.2681,0.2174,0.5870
- ensemble,0.7932,0.2821,0.2494,0.5910
- temperature calibration,0.8122,0.2901,0.2634,0.5940
- semantic association,0.7972,0.2141,0.2084,0.5930
- adaptive covariance,0.8042,0.2471,0.2114,0.5760
