method,macro_f1,mota,ece,id_switches,f1_rel_improvement_pct
UST-Fuse,0.8152,0.2921,0.2024,12675.0000,0.0000
JPDA,0.7581,0.2629,0.2732,24082.5000,7.5269
CNN,0.7173,0.2103,0.3845,38025.0000,13.6364
LSTM,0.7744,0.2337,0.3137,27885.0000,5.2632
Kalman,0.5706,0.2483,0.5262,30420.0000,42.8571
SORT,0.5869,0.2570,0.4857,26617.5000,38.8889
DeepSORT,0.7825,0.2629,0.2935,20280.0000,4.1667
