method,macro_f1,mota,ece,id_switches,f1_rel_improvement_pct
UST-Fuse,0.8152,0.3034,0.2020,12266.0000,0.0000
JPDA,0.7582,0.2730,0.2727,23305.4000,7.5269
CNN,0.7174,0.2184,0.3839,36798.0000,13.6364
LSTM,0.7745,0.2427,0.3132,26985.2000,5.2632
Kalman,0.5707,0.2579,0.5253,29438.4000,42.8571
SORT,0.5870,0.2670,0.4849,25758.6000,38.8889
DeepSORT,0.7826,0.2730,0.2930,19625.6000,4.1667
