method,macro_f1,mota,ece,id_switches,f1_rel_improvement_pct
UST-Fuse,0.8182,0.3134,0.2053,12521.0000,0.0000
JPDA,0.7610,0.2820,0.2772,23789.9000,7.5269
CNN,0.7200,0.2256,0.3901,37563.0000,13.6364
LSTM,0.7773,0.2507,0.3182,27546.2000,5.2632
Kalman,0.5728,0.2664,0.5338,30050.4000,42.8571
SORT,0.5891,0.2758,0.4928,26294.1000,38.8889
DeepSORT,0.7855,0.2820,0.2977,20033.6000,4.1667
