method,macro_f1,mota,ece,id_switches,f1_rel_improvement_pct
UST-Fuse,0.8250,0.2982,0.2035,12944.0000,0.0000
JPDA,0.7672,0.2684,0.2748,24593.6000,7.5269
CNN,0.7260,0.2147,0.3867,38832.0000,13.6364
LSTM,0.7837,0.2386,0.3155,28476.8000,5.2632
Kalman,0.5775,0.2535,0.5292,31065.6000,42.8571
SORT,0.5940,0.2624,0.4885,27182.4000,38.8889
DeepSORT,0.7920,0.2684,0.2951,20710.4000,4.1667
