method,macro_f1,mota,ece,id_switches,f1_rel_improvement_pct
UST-Fuse,0.8400,0.2881,0.2112,12718.0000,0.0000
JPDA,0.7812,0.2593,0.2852,24164.2000,7.5269
CNN,0.7392,0.2074,0.4013,38154.0000,13.6364
LSTM,0.7980,0.2305,0.3274,27979.6000,5.2632
Kalman,0.5880,0.2449,0.5492,30523.2000,42.8571
SORT,0.6048,0.2535,0.5070,26707.8000,38.8889
DeepSORT,0.8064,0.2593,0.3063,20348.8000,4.1667
