method,macro_f1,mota,ece,id_switches,f1_rel_improvement_pct
UST-Fuse,0.8275,0.3106,0.2068,12437.0000,0.0000
JPDA,0.7695,0.2796,0.2792,23630.3000,7.5269
CNN,0.7282,0.2237,0.3930,37311.0000,13.6364
LSTM,0.7861,0.2485,0.3206,27361.4000,5.2632
Kalman,0.5792,0.2641,0.5377,29848.8000,42.8571
SORT,0.5958,0.2734,0.4964,26117.7000,38.8889
DeepSORT,0.7944,0.2796,0.2999,19899.2000,4.1667
