method,macro_f1,mota,ece,id_switches,f1_rel_improvement_pct
UST-Fuse,0.8408,0.3229,0.2106,12426.0000,0.0000
JPDA,0.7819,0.2906,0.2843,23609.4000,7.5269
CNN,0.7399,0.2325,0.4001,37278.0000,13.6364
LSTM,0.7988,0.2583,0.3264,27337.2000,5.2632
Kalman,0.5886,0.2744,0.5476,29822.4000,42.8571
SORT,0.6054,0.2841,0.5054,26094.6000,38.8889
DeepSORT,0.8072,0.2906,0.3054,19881.6000,4.1667
