no_semantic,calibrated,0.7-0.8,0.75108,0.98622,22566
no_semantic,calibrated,0.8-0.9,0.85307,0.99801,30112
no_semantic,calibrated,0.9-1.0,0.93150,0.99989,18846
no_semantic,ensemble_no_temp,0.0-0.1,0,0,0
no_semantic,ensemble_no_temp,0.1-0.2,0,0,0
no_semantic,ensemble_no_temp,0.2-0.3,0,0,0
no_semantic,ensemble_no_temp,0.3-0.4,0.37772,0.46609,3096
no_semantic,ensemble_no_temp,0.4-0.5,0.45297,0.58675,12617
no_semantic,ensemble_no_temp,0.5-0.6,0.54976,0.77251,12906
no_semantic,ensemble_no_temp,0.6-0.7,0.65153,0.89384,14535
no_semantic,ensemble_no_temp,0.7-0.8,0.75242,0.95313,18265
no_semantic,ensemble_no_temp,0.8-0.9,0.85376,0.98721,24934
no_semantic,ensemble_no_temp,0.9-1.0,0.95073,0.99897,45823
