method,macro_f1,mota,ece,id_switches,f1_rel_improvement_pct
UST-Fuse,0.8328,0.3060,0.2040,13067.0000,0.0000
JPDA,0.7745,0.2754,0.2753,24827.3000,7.5269
CNN,0.7329,0.2203,0.3875,39201.0000,13.6364
LSTM,0.7912,0.2448,0.3161,28747.4000,5.2632
Kalman,0.5830,0.2601,0.5303,31360.8000,42.8571
SORT,0.5996,0.2693,0.4895,27440.7000,38.8889
DeepSORT,0.7995,0.2754,0.2957,20907.2000,4.1667
