seed,file,md5,rows
20260743,ustfuse_classifications.csv,e18c44906afcf09979b5dcd3e269d258,198112
20260743,ustfuse_tracks.csv,6d0f805ef715e68bd2232186444464a8,243547
20260743,fusemetrics_summary.csv,9a1fba56a5c7c769f680683cbb9610be,17
20260744,radartwin_measurements.csv,cfefeedfc34ae00e73ff917bb3caa16b,202053
20260744,radartwin_truth.csv,f247b878f4437ca2e13df75169ab4653,214007
20260744,ustfuse_classifications.csv,f9bc282e737628e38ece506891766c3a,202053
20260744,ustfuse_tracks.csv,88948d25195d6cdbc3169eadf4e0044e,252283
20260744,fusemetrics_summary.csv,d9c4ba2cc08d6ec0b74db7d73a7d3e13,17
20260745,radartwin_measurements.csv,31b1c851599a4145b594278c6f466a8f,202595
20260745,radartwin_truth.csv,b0989bc98dd7826effa1b657b07ce2e4,215672
20260745,ustfuse_classifications.csv,c92243458623505a7b9e0a2198afd158,202595
20260745,ustfuse_tracks.csv,b9ee549872d5f4b4d0c57a2aac1054b1,250297
20260745,fusemetrics_summary.csv,4a141b9f5a71ba19ca8353145accccf7,17
20260746,radartwin_measurements.csv,a685834b750066934d576ed30473d5df,200520
20260746,radartwin_truth.csv,ff9174633225f7f4aab36cebd21489dd,213361
20260746,ustfuse_classifications.csv,a9f57870be4fea55e24470e240153f50,200520
20260746,ustfuse_tracks.csv,b6e395ab55b054fbf925ff8e4be9b176,250277
20260746,fusemetrics_summary.csv,67b59060ca7816d3cc82a8aad4434475,17
20260747,radartwin_measurements.csv,8c96f92541ed3018ea623185dfc64ace,206909
20260747,radartwin_truth.csv,abc4190e6477d43433117676aafb99de,219182
20260747,ustfuse_classifications.csv,7e5359bdd42ce50b71721b3cee34533a,206909
20260747,ustfuse_tracks.csv,971e73c72678481281de389576d02811,261113
20260747,fusemetrics_summary.csv,dba4aee87eb8b7c73a616a63e90c2581,17
20260748,radartwin_measurements.csv,122af151ec603e8a4d65207432928a12,202507
20260748,radartwin_truth.csv,717c0a48f4f8e0cd16d6a2d1fe26a444,217962
20260748,ustfuse_classifications.csv,0bc29bc31ea7444b06a4e43e8ebae89c,202507
