method,macro_f1,mota,ece,id_switches,f1_rel_improvement_pct
UST-Fuse,0.8347,0.3088,0.2192,12318.0000,0.0000
JPDA,0.7763,0.2779,0.2959,23404.2000,7.5269
CNN,0.7345,0.2224,0.4164,36954.0000,13.6364
LSTM,0.7929,0.2471,0.3397,27099.6000,5.2632
Kalman,0.5843,0.2625,0.5699,29563.2000,42.8571
SORT,0.6010,0.2718,0.5260,25867.8000,38.8889
DeepSORT,0.8013,0.2779,0.3178,19708.8000,4.1667
