run_id,replicate_id,alert_id,step,timestamp_utc,site_id,detector,score,threshold,rule_hits,explanation,correlated_with,recommended_action,approval_required,shadow_mode
compound-challenge,0,alert-site_b-301,301,2026-09-03T09:05:01Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-302,302,2026-09-03T09:05:02Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-303,303,2026-09-03T09:05:03Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-304,304,2026-09-03T09:05:04Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-305,305,2026-09-03T09:05:05Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-306,306,2026-09-03T09:05:06Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-307,307,2026-09-03T09:05:07Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-308,308,2026-09-03T09:05:08Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-309,309,2026-09-03T09:05:09Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-310,310,2026-09-03T09:05:10Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-311,311,2026-09-03T09:05:11Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-312,312,2026-09-03T09:05:12Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-313,313,2026-09-03T09:05:13Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-314,314,2026-09-03T09:05:14Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-315,315,2026-09-03T09:05:15Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-316,316,2026-09-03T09:05:16Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-317,317,2026-09-03T09:05:17Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-318,318,2026-09-03T09:05:18Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-319,319,2026-09-03T09:05:19Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-320,320,2026-09-03T09:05:20Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-321,321,2026-09-03T09:05:21Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-322,322,2026-09-03T09:05:22Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-323,323,2026-09-03T09:05:23Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-324,324,2026-09-03T09:05:24Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-325,325,2026-09-03T09:05:25Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
