method,macro_f1,mota,ece,id_switches,f1_rel_improvement_pct
UST-Fuse,0.8322,0.3068,0.2090,13243.0000,0.0000
JPDA,0.7740,0.2761,0.2822,25161.7000,7.5269
CNN,0.7324,0.2209,0.3972,39729.0000,13.6364
LSTM,0.7906,0.2454,0.3240,29134.6000,5.2632
Kalman,0.5826,0.2608,0.5435,31783.2000,42.8571
SORT,0.5992,0.2700,0.5017,27810.3000,38.8889
DeepSORT,0.7989,0.2761,0.3031,21188.8000,4.1667
