theta_scale,catastrophe,T_cat,terminal_cascade_size
0.4,False,,0.0
0.6000000000000001,True,268.75,0.5454545454545454
0.8,True,141.25,0.5454545454545454
1.0,True,102.75,0.7272727272727273
1.2000000000000002,True,82.9,0.8636363636363636
1.4,True,70.5,1.0
1.6,True,61.900000000000006,1.0
1.8000000000000003,True,55.550000000000004,1.0
2.0,True,50.6,1.0
