parameter,prcc,ci_low,ci_high,p_value
xi_mult,0.4683722987180608,0.2946427292963728,0.6121318010173366,1.9299556401897178e-06
prop_mult,-0.9619413292681134,-0.9745465193415634,-0.9432730773116157,0.0
conflict_mult,-0.2126855523561909,-0.39720236612499205,-0.011641564679608021,0.03958217732243097
fault_magnitude,-0.0578763875630243,-0.25642826591485457,0.1453622083875487,0.5795177602371817
delay_mult,-0.0478025282559121,-0.24696619707282405,0.15523606383528335,0.6472949573369324
alpha,-0.3737627112300319,-0.5350042437976275,-0.18624976136897048,0.00020667781541439112
reconf_mult,0.853168142852287,0.7869394280493739,0.8999625274889225,0.0
