xi,catastrophe,T_cat,peak_backlog,terminal_cascade_size
0.35,True,76.55,4.3860060980557956,0.7272727272727273
0.38999999999999996,True,116.80000000000001,4.370175679453426,0.7272727272727273
0.43,False,,0.6036802745727313,0.0
0.47,False,,0.5068638068541602,0.0
0.51,False,,0.4926812647915496,0.0
0.55,False,,0.48649063219004374,0.0
0.59,False,,0.483361152817096,0.0
0.63,False,,0.4816824070887308,0.0
0.6699999999999999,False,,0.48075553519888237,0.0
0.71,False,,0.4802359842406695,0.0
0.75,False,,0.47994233913884254,0.0
