configuration,macro_f1,mota,ece,pd
full UST-Fuse,0.8287,0.3054,0.2065,0.6155
- quality index,0.7877,0.2534,0.2305,0.5845
- temporal attention,0.7927,0.2444,0.2245,0.6035
- cross-feature attention,0.7997,0.2814,0.2215,0.6075
- ensemble,0.8067,0.2954,0.2535,0.6115
- temperature calibration,0.8257,0.3034,0.2675,0.6145
- semantic association,0.8107,0.2274,0.2125,0.6135
- adaptive covariance,0.8177,0.2604,0.2155,0.5965
