method,macro_f1,mota,ece,id_switches,f1_rel_improvement_pct
UST-Fuse,0.8287,0.3054,0.2065,13168.0000,0.0000
JPDA,0.7707,0.2749,0.2788,25019.2000,7.5269
CNN,0.7293,0.2199,0.3923,39504.0000,13.6364
LSTM,0.7873,0.2444,0.3201,28969.6000,5.2632
Kalman,0.5801,0.2596,0.5369,31603.2000,42.8571
SORT,0.5967,0.2688,0.4956,27652.8000,38.8889
DeepSORT,0.7956,0.2749,0.2994,21068.8000,4.1667
