configuration,macro_f1,mota,ece,pd
full UST-Fuse,0.8270,0.3144,0.2054,0.5928
- quality index,0.7860,0.2624,0.2294,0.5618
- temporal attention,0.7910,0.2534,0.2234,0.5808
- cross-feature attention,0.7980,0.2904,0.2204,0.5848
- ensemble,0.8050,0.3044,0.2524,0.5888
- temperature calibration,0.8240,0.3124,0.2664,0.5918
- semantic association,0.8090,0.2364,0.2114,0.5908
- adaptive covariance,0.8160,0.2694,0.2144,0.5738
