method,macro_f1,mota,ece,id_switches,f1_rel_improvement_pct
UST-Fuse,0.8270,0.3144,0.2054,12627.0000,0.0000
JPDA,0.7691,0.2829,0.2773,23991.3000,7.5269
CNN,0.7277,0.2263,0.3903,37881.0000,13.6364
LSTM,0.7856,0.2515,0.3184,27779.4000,5.2632
Kalman,0.5789,0.2672,0.5340,30304.8000,42.8571
SORT,0.5954,0.2766,0.4930,26516.7000,38.8889
DeepSORT,0.7939,0.2829,0.2978,20203.2000,4.1667
