scenario,metric,n_baseline,n_framework,baseline_mean,baseline_sd,baseline_median,baseline_iqr,baseline_ci95_lo,baseline_ci95_hi,framework_mean,framework_sd,framework_median,framework_iqr,framework_ci95_lo,framework_ci95_hi,abs_diff_mean,diff_ci95_lo,diff_ci95_hi,rel_reduction_pct,hedges_g,cliffs_delta,test,p_value,test_nonparametric,p_value_nonparametric,paired,p_value_holm
S1,detection_latency_s,20,20,52.000099999999996,18.870467834827604,50.2295,9.963000000000008,43.16844919741697,60.831750802583024,9.200050000000001,2.4916020311395934,9.447,3.3919999999999995,8.033944354361537,10.366155645638464,-42.80005,-51.695355,-34.90643500000001,82.30763017763428,3.1167954039891157,1.0,paired t-test,8.703387470337023e-09,Wilcoxon signed-rank,1.9073486328125e-06,True,1.7406774940674047e-08
S2,detection_latency_s,20,20,68.40005000000002,27.17651899686275,57.846,34.69950000000001,55.68104759312363,81.1190524068764,7.399950000000001,1.4960298855374023,7.177,1.5017499999999995,6.699786461133754,8.10011353886625,-61.00010000000002,-73.0308975,-50.08430625,89.18136755747986,3.10655786761225,1.0,paired t-test,4.280648093616404e-09,Wilcoxon signed-rank,1.9073486328125e-06,True,1.2841944280849211e-08
S3,detection_latency_s,20,20,18.7,8.38481037666515,16.869,11.327,14.775787948621476,22.62421205137852,5.8,1.167237133711822,5.642,1.8345000000000002,5.253716205714573,6.346283794285426,-12.899999999999999,-16.837709999999998,-9.255871250000002,68.98395721925132,2.112167648260364,0.995,paired t-test,3.2823298988718626e-06,Wilcoxon signed-rank,1.9073486328125e-06,True,3.2823298988718626e-06
S4,detection_latency_s,20,20,33.29995,8.711500894763985,32.151,12.181750000000005,29.22284207971044,37.377057920289566,11.59985,2.755894205344725,11.425,2.9657500000000017,10.310051809329492,12.889648190670508,-21.700100000000003,-25.273813750000002,-18.11317375,65.16556331165663,3.2919767048062707,1.0,paired t-test,5.010451371052394e-10,Wilcoxon signed-rank,1.9073486328125e-06,True,2.0041805484209575e-09
pooled,detection_latency_s,80,80,43.100025,25.604171299290623,39.594,26.734,37.402095793658816,48.79795420634119,8.4999625,2.982338409869177,7.729,4.1535,7.836275597965506,9.163649402034494,-34.6000625,-40.33883625,-29.238398125,80.27852072011558,1.8892313907964486,0.960625,paired t-test,1.3869114099041126e-19,Wilcoxon signed-rank,7.849526548031477e-15,True,
