method,macro_f1,mota,ece,id_switches,f1_rel_improvement_pct
UST-Fuse,0.8312,0.3143,0.2082,12688.0000,0.0000
JPDA,0.7731,0.2829,0.2810,24107.2000,7.5269
CNN,0.7315,0.2263,0.3955,38064.0000,13.6364
LSTM,0.7897,0.2514,0.3227,27913.6000,5.2632
Kalman,0.5819,0.2672,0.5413,30451.2000,42.8571
SORT,0.5985,0.2766,0.4996,26644.8000,38.8889
DeepSORT,0.7980,0.2829,0.3019,20300.8000,4.1667
