t,weighted_x,weighted_q,reconfig_failure_prob,max_degradation,max_backlog
0.0,0.0144738,0.27549059538595194,0.002134336400718251,0.55,0.36017126253584975
0.05,0.01363092584132028,0.2758319871622589,0.0021128756078506727,0.5074710259173479,0.36017126253584975
0.1,0.013017612323673796,0.276064794398572,0.002097235201527714,0.47691103396626505,0.360331706740956
0.15000000000000002,0.01250395832927999,0.27624844002159127,0.0020841097115590346,0.45153613409708304,0.36055509547019626
0.2,0.01205420874634871,0.2763997188919479,0.002072588035774703,0.42947742650477627,0.36081419156112
0.25,0.011651428690896743,0.27652689155249616,0.002062239813222677,0.4098468829948605,0.3610950298588607
0.30000000000000004,0.011285656281964679,0.27663500150584314,0.0020528130076346573,0.3921211197913738,0.361389071661946
0.35000000000000003,0.010950291031286814,0.27672750602108337,0.0020441415048213507,0.3759531238561114,0.3616906349360635
0.4,0.010640618148276156,0.27680694921266424,0.0020361073051626266,0.36109510672772316,0.36199575203579976
0.45,0.010353091362320812,0.2768752934039439,0.002028622138627423,0.3473609049616166,0.3623015697390607
0.5,0.01008614857682523,0.2769341028584382,0.0020216515274983915,0.3346053969526712,0.36260599893658646
0.55,0.00983684965930166,0.27698470034742156,0.002015120615089405,0.3227122515712041,0.36290749459775956
0.6000000000000001,0.009609190765246673,0.2770281522631869,0.0020091479501301857,0.31158615863980954,0.36320491001289196
0.65,0.009397833913915304,0.27706554460797805,0.0020035899020444115,0.30114765344699873,0.36349739626245564
0.7000000000000001,0.009205046355877648,0.2770976536176744,0.001998514025128073,0.29132952443796645,0.3637843306741943
0.75,0.009034285143517147,0.277125271058449,0.001994020769935212,0.2820742427208156,0.3640652645950506
0.8,0.008877688892819209,0.27714922259224395,0.0019898957212658996,0.27333206756268924,0.36433988450132554
0.8500000000000001,0.008732419830454429,0.27716997837409785,0.0019860624561642837,0.2650596164575549,0.36460798254070237
0.9,0.008596712440386282,0.27718791754803823,0.0019824740944627273,0.2572187689507921,0.3648694338891052
0.9500000000000001,0.008469302499613416,0.27720336042087795,0.0019790974779258508,0.24977580823835982,0.365124179165994
1.0,0.008349322333274354,0.2772165831726877,0.0019759102618410185,0.24270073952903054,0.36537221063421477
1.05,0.008236003788283531,0.2772278307992449,0.0019728927396616136,0.23596674161037495,0.36561363833885574
1.1,0.008128704462670791,0.27723731831407294,0.0019700285393026706,0.22954972034281257,0.36584858768092077
1.1500000000000001,0.008031668699056575,0.2772452354328201,0.0019674355056813475,0.22342814751923995,0.36607719477359313
1.2000000000000002,0.007941535114212361,0.2772518783786323,0.001965023134061994,0.21758236391383817,0.3662996033391501
1.25,0.007860877413725171,0.27725740883484107,0.0019628629067551806,0.21199471143366921,0.36651596236579664
1.3,0.007786795146108856,0.27726209037091465,0.0019608770580501478,0.2066491633216434,0.3667264798939081
1.35,0.007718158261662818,0.27726605162218876,0.001959035363889916,0.20153080265555423,0.36693134839203295
1.4000000000000001,0.0076554226586556025,0.2772693923565106,0.00195735084595805,0.19667322181725566,0.3671307485474514
1.4500000000000002,0.0075974652779242985,0.27727224319590216,0.001955793661094385,0.19203575065187012,0.3673248515058304
1.5,0.007543737784132608,0.27727468362694363,0.0019543492942266094,0.18759880884994629,0.36751382042770475
1.55,0.007484319672342451,0.2772792654196096,0.0019527711662318814,0.18334755096939076,0.36774504716594253
1.6,0.007423736287113472,0.27728415484040453,0.0019511654763983421,0.1792695120463672,0.3679801301257134
1.6500000000000001,0.0073723540393197985,0.2772888930062854,0.001949810322995238,0.17535378949346458,0.36820944699954417
1.7000000000000002,0.007324236351238161,0.2772935724544644,0.001948544429847876,0.17159087368250114,0.3684285567685713
1.75,0.007278177483387107,0.27729809048942905,0.0019473338386508665,0.1679719790512747,0.36863514741260067
1.8,0.0072337062555929985,0.2773023710444425,0.001946164910568371,0.164489240043256,0.36882802020618594
1.85,0.0071906195205603506,0.27730636364512856,0.0019450315704458987,0.16113528866452714,0.3690066310056075
1.9000000000000001,0.007148878852674884,0.2773100377466703,0.0019439324229295063,0.1579033107967504,0.3691708461929505
1.9500000000000002,0.007108369425517395,0.2773133794261583,0.00194286416138445,0.15478699058862583,0.36932079920248223
2.0,0.007069035334944877,0.27731638726768537,0.0019418252053818863,0.1517804610761398,0.3694568001347873
2.0500000000000003,0.007030873268643806,0.277319062161491,0.00194081542724156,0.14887826107942187,0.3695792771913681
2.1,0.006993696398437203,0.27732142022973094,0.0019398298710761597,0.14607552228502857,0.3696887748737221
2.15,0.006957500999691788,0.27732346670511343,0.0019388684492936958,0.14336750671647897,0.3697858766249546
2.2,0.006922096880942277,0.2773252200992951,0.0019379261519266167,0.14075000742106136,0.3698712377494344
2.25,0.00688701042829044,0.27732669972300694,0.0019369903159701662,0.13821883599026674,0.3699455091295574
2.3000000000000003,0.006852217328419239,0.2773278992312146,0.0019360602147119321,0.1357700380348003,0.3700093291473463
2.35,0.006817698735593698,0.27732881642250357,0.0019351353099262836,0.13339990726569162,0.3700633187620856
2.4000000000000004,0.006783526989676316,0.2773294515115954,0.00193421755174078,0.1311049506768881,0.37010807807910867
