method,macro_f1,mota,ece,id_switches,f1_rel_improvement_pct
UST-Fuse,0.8296,0.3077,0.2072,12682.0000,0.0000
JPDA,0.7715,0.2769,0.2798,24095.8000,7.5269
CNN,0.7300,0.2215,0.3937,38046.0000,13.6364
LSTM,0.7881,0.2462,0.3212,27900.4000,5.2632
Kalman,0.5807,0.2616,0.5388,30436.8000,42.8571
SORT,0.5973,0.2708,0.4973,26632.2000,38.8889
DeepSORT,0.7964,0.2769,0.3005,20291.2000,4.1667
