configuration,macro_f1,mota,ece,pd
full UST-Fuse,0.8296,0.3077,0.2072,0.5889
- quality index,0.7886,0.2557,0.2312,0.5579
- temporal attention,0.7936,0.2467,0.2252,0.5769
- cross-feature attention,0.8006,0.2837,0.2222,0.5809
- ensemble,0.8076,0.2977,0.2542,0.5849
- temperature calibration,0.8266,0.3057,0.2682,0.5879
- semantic association,0.8116,0.2297,0.2132,0.5869
- adaptive covariance,0.8186,0.2627,0.2162,0.5699
